2026-07-03 10:42:16,543 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767388 "HTTP/1.1 200 OK"
2026-07-03 10:42:16,848 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493596&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:17,154 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493597&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:17,316 | INFO | src.attachment_extractor | Extracted attachment text (1403 chars): https://www.korea.kr/common/download.do?fileId=198493597&tblKey=GMN
2026-07-03 10:42:17,318 | INFO | src.article_enrichment | Enriched article (1528 → 4519 chars, attachments=1, plan=False): 해수부, 제11차 아워오션콘퍼런스(OOC) 참석… UN해양총회 개최국으로서 해양리더십 강화
2026-07-03 10:42:17,794 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767387 "HTTP/1.1 200 OK"
2026-07-03 10:42:18,123 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493358&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:18,310 | INFO | src.attachment_extractor | Extracted attachment text (1806 chars): https://www.korea.kr/common/download.do?fileId=198493358&tblKey=GMN
2026-07-03 10:42:18,573 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493359&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:18,750 | INFO | src.article_enrichment | Enriched article (852 → 2673 chars, attachments=1, plan=False): 어촌 청소년·수산계 대학생, 뉴질랜드에서 꿈 키운다
2026-07-03 10:42:19,231 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767386 "HTTP/1.1 200 OK"
2026-07-03 10:42:19,562 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493356&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:19,672 | INFO | src.attachment_extractor | Extracted attachment text (936 chars): https://www.korea.kr/common/download.do?fileId=198493356&tblKey=GMN
2026-07-03 10:42:20,009 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493357&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:20,058 | INFO | src.article_enrichment | Enriched article (992 → 1943 chars, attachments=1, plan=False): "청년이 여는 새로운 어촌의 미래" 해수부, 청년어업인 간담회 개최
2026-07-03 10:42:20,525 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767431 "HTTP/1.1 200 OK"
2026-07-03 10:42:20,841 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493535&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:21,041 | INFO | src.attachment_extractor | Extracted attachment text (1316 chars): https://www.korea.kr/common/download.do?fileId=198493535&tblKey=GMN
2026-07-03 10:42:21,384 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493536&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:21,514 | INFO | src.article_enrichment | Enriched article (1036 → 2367 chars, attachments=1, plan=False): 양육비 채무 불이행자 166명 대상 운전면허정지, 출국금지 등 184건 의결
2026-07-03 10:42:21,537 | INFO | src.pipeline | Filtered to 9 keyword-matching domestic (Korea-scoped) articles
2026-07-03 10:42:21,543 | INFO | src.pipeline | Gov/Fraunhofer-target articles (정부·R&D 타깃): 9
2026-07-03 10:42:21,567 | INFO | src.pipeline | Purged 51 non-domestic (foreign) row(s) from monitor DB
2026-07-03 10:42:21,582 | INFO | src.pipeline | Summarizing 1/9: 응급환자 이송체계 혁신 시범사업, 3개월간 응급실 미수용 '0건'
2026-07-03 10:42:21,585 | INFO | src.focused_summarize | Long gov original (12069 chars) \u2014 focused map-reduce: 응급환자 이송체계 혁신 시범사업, 3개월간 응급실 미수용 '0건'
2026-07-03 10:42:21,596 | INFO | src.focused_summarize | Focused map 1/2 (8999 chars): 응급환자 이송체계 혁신 시범사업, 3개월간 응급실 미수용 '0건'
2026-07-03 10:42:23,498 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-07-03 10:42:23,510 | WARNING | src.llm_utils | Groq TPD limit \u2014 waiting 2815s before retry
